Timestamp, total_players
0,146843579
1,146844088
2,146845155
3,146846092
4,146847316
5,146848325
6,146849358
7,146850318
8,146851324
9,146852113
10,146852969
11,146853749
12,146854449
13,146855218
14,146855946
15,146856695
16,146857368
17,146858034
18,146858745
19,146859354
19,146859890
20,146860543
21,146861197
22,146861858
23,146862651
24,146863208
25,146863753
26,146864516
27,146865245
28,146866087
29,146866901
30,146867756
31,146868740
32,146869619
33,146870740
34,146871921
35,146872850
36,146874050
37,146875339
38,146876691
39,146878140
40,146879524
41,146880960
42,146882199
43,146883481
44,146884649
45,146885783
46,146886905
47,146887953
48,146888962
49,146889953
50,146891159
51,146892128
52,146893059
53,146893988
54,146895000
55,146895898
56,146896754
57,146897576
58,146898286
59,146899061
60,146899733
61,146900437
62,146901154
63,146902129
64,146903023
65,146903910
66,146904872
67,146905947
68,146907022
69,146908026
70,146908991
71,146909956
72,146911039
73,146912206
74,146913511
75,146914548
76,146915644
77,146916770
78,146917843
79,146918953
80,146920214
81,146921628
82,146922915
83,146924216
84,146925350
85,146926448
86,146927749
87,146928960
88,146930365
89,146931621
90,146932829
91,146934185
92,146935531
93,146936437
94,146937625
95,146938819
96,146939863
97,146940825
98,146941754
99,146942640
100,146943495
101,146944334
102,146945157
103,146946100
104,146946920
105,146947615
106,146948301
107,146948924
108,146949731
109,146950484
110,146951131
111,146951896
112,146952694
113,146953571
114,146954472
115,146955458
116,146956778
117,146958063
118,146959289
119,146960778
120,146962128
121,146963327
122,146964297
123,146965272
124,146966522
125,146967678
126,146968889
127,146970067
128,146971172
129,146972369
130,146973575
131,146974762
132,146975883
133,146976869
134,146977882
135,146978811
136,146979867
137,146981013
138,146982046
139,146983034
